RTP Audio Master [INFO] :: 2024-01-04 17:20:28,546 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:20:28,549 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:20:28,549 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:20:38,559 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:20:38,562 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:20:38,565 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:20:38,566 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:20:39,569 -> [UDP] Received login request from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:20:39,569 -> [UDP] Accept login
RTP Audio Master [INFO] :: 2024-01-04 17:20:42,572 -> [UDP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:24:02,499 -> [UDP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:24:06,502 -> [UDP] Received login request from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:24:06,502 -> [UDP] Accept login
RTP Audio Master [INFO] :: 2024-01-04 17:24:06,502 -> [UDP] Add 192.168.178.172 to list of Hosts
RTP Audio Master [INFO] :: 2024-01-04 17:24:12,509 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:24:12,513 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:24:12,516 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:24:12,516 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:24:21,528 -> [UDP] Received login request from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:24:21,528 -> [UDP] Accept login
RTP Audio Master [INFO] :: 2024-01-04 17:24:22,524 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:24:22,528 -> [TCP] Exception in run method [Errno 111] Connection refused
RTP Audio Master [INFO] :: 2024-01-04 17:24:22,528 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:24:32,538 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:24:32,541 -> [TCP] Exception in run method [Errno 111] Connection refused
RTP Audio Master [INFO] :: 2024-01-04 17:24:32,542 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:24:34,542 -> [UDP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:04,208 -> [UDP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:08,816 -> [UDP] Received login request from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:25:08,816 -> [UDP] Accept login
RTP Audio Master [INFO] :: 2024-01-04 17:25:08,816 -> [UDP] Add 192.168.178.172 to list of Hosts
RTP Audio Master [INFO] :: 2024-01-04 17:25:14,218 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:14,221 -> [TCP] Exception in run method [Errno 111] Connection refused
RTP Audio Master [INFO] :: 2024-01-04 17:25:14,222 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:21,618 -> [UDP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:23,318 -> [UDP] Received login request from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:25:23,318 -> [UDP] Accept login
RTP Audio Master [INFO] :: 2024-01-04 17:25:23,318 -> [UDP] Add 192.168.178.172 to list of Hosts
RTP Audio Master [INFO] :: 2024-01-04 17:25:31,628 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:31,632 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:25:31,636 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:25:31,637 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:41,647 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:41,651 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:25:41,655 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:25:41,655 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:51,665 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:25:51,678 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:25:51,683 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:25:51,683 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:26:01,692 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:26:01,696 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:26:01,700 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:26:01,700 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:26:11,710 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:26:11,714 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:26:11,718 -> [TCP] 192.168.178.172 is active
